"","text","emotion","polarity"
"699","guardian reporting today covid patients being transported as far as newcastle to receive treatment…","disgust","positive"
"700","my colleague had positive covidi went on annual leavethe ser…","joy","positive"
"701","lloydminster’s home depot says despite having to work around the covid pandemic this year’s orange door campaig…","joy","neutral"
"702","the washington post puts antiisrael narrative before covid vaccine facts","sadness","positive"
"703","president elect joebiden announcestrillion covid proposal extratrillion for rd stimulus check …","fear","positive"
"704","biden’strillion covid relief bill will definitely help millions of americans in serious need this is the act of a real leader","sadness","positive"
"705","to all returning residents welcome back and dont forget to get your covid test before moving back into your room after winter break","sadness","negative"
"706","breaking world’s covid death toll exceededmillion","fear","negative"
"707","that was short term while shaving the covid beard this summer but she likes to bring out the picture ev…","fear","positive"
"708","two texas billionaires got amillion pandemic relief loan for one of their fracking companies but only after s…","fear","positive"
"709","lockdownlight does not work “manitoba had a higher rate than we did at the start of december and right now th…","joy","positive"
"710","still going to the grocery store with new virus variants spreading it’s probably time to stop","anger","negative"
"711","has anybody on here lost their tastesmell with covid i just wanna know when it’s gonna come back <U+0001F62D>","sadness","positive"
"712","you already gotdollar checks also all those times you took a penny but didnt lesve one that was all covid r…","fear","positive"
"713","press release covid vaccine update for north central idaho","fear","positive"
"714","just in grand river transit is reporting another two covid cases both employees are bus operators and are now…","joy","positive"
"715","i hope she and the foundry returnthey both have a special place anf meaning in my heart

my grandfa…","joy","positive"
"716","its too bad but with luck after the initial postcovid disneyland rush theyll r…","joy","neutral"
"717","out of pocket for covid test what happen to free testing","joy","positive"
"718","plan for covid no","fear","positive"
"719","if you passed first grade you w…","anger","positive"
"720","as the covid crisis in los angeles continues to put an incredible strain on local hospitals our team is delivering…","surprise","negative"
"721","lets face ither treating of the help was cemented well before covid heyhow th…","joy","positive"
"722","happening nowsays firstemployees to start getting covid vaccineat broadbent arena h…","fear","positive"
"723","hate to break it to you q anon prats but donny hasnt arranged a d planet for you to ascend to drop dead fred ha…","anger","negative"
"724","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinformat…","fear","positive"
"725","“currently frontline health care workers residents and staff at long term care facilities nursing homes assiste…","joy","negative"
"726","must be covid eating or maybe you’re depressed either way you are gross","disgust","negative"
"727","i know twitter lives him but really the guy who unnecessarily drove hundreds of miles a day adding to our terrib…","surprise","positive"
"728","covid has hit latino communities in california so hard that if i dont get it im going to feel like i lost some of my authenticity","anger","negative"
"729","this is the great reset the conspiracy theorists have been banging on about bidens inauguration will…","joy","neutral"
"730","i wanna pet them so bad i wish there was no fucking covid and was rich id tour the country meeting…","fear","neutral"
"731","graveside service setyearold covid victim","joy","positive"
"732","how early should you get to your covid vaccine appointment and are there toiletsmiami herald…","joy","negative"
"733","covid health care workers at high risk for mental health issues","fear","neutral"
"734","stagetheatre news gerry cottle circus showman and wookey hole caves owner dies of covid agedcottle toured…","joy","negative"
"735","play the damn games or cancel the seasonno sense in postponing gamesthis is ridic…","anger","negative"
"736","israel the palestinians and the covid vaccines the new bloodlibel","surprise","positive"
"737","covid pain too naturalconsequences","anger","negative"
"738","i want to remind albertans that sport rec amp fitness and restaurants have been closedrestricted since november …","disgust","positive"
"739","i lived in california throughout this pandemicand didnt encounterperson in a year…","surprise","positive"
"740","elders at indigenous retirement home in toronto receive covid vaccinecbc news","joy","positive"
"741","i miss axe throwing go cart racing and going to grab a mf drink wherever and whenever i want i’m mf tideeee of covid gt","sadness","neutral"
"742","the recorded death count from the covid pandemic is nearingmillion the true extent is far worse","fear","negative"
"743","how are they doing drag race with covid do they all get tested before or what","fear","negative"
"744","little harder with covid but if you’re willing to quarantine your first country it’s p…","joy","neutral"
"745","like the most it was complications from covidhe had been hospitalized for a couple months","joy","positive"
"746","many wont like thisbut it is becoming crystal clear that the high priests of the covid cult must meet…","fear","positive"
"747","firstmillion in covid aid disbursed to minn businesses","surprise","positive"
"748","can we finally admit that covid was used as a political tool for dems to destroy the presidentand that liberals…","surprise","neutral"
"749","five total cases of covid variants now in bcmy cariboo now","surprise","negative"
"750","can’t wait for people to get their stimulus checks and start spending it <U+0001F44C>

joe biden just released histrilli…","joy","neutral"
"751","covid got me asking my parents for permission to go places like i’myears old again i’myears old","joy","positive"
"752","some people are really out there playing chess with covid by going out everyday not keeping their distance and sti…","surprise","positive"
"753","this should be interesting

porter seems of the type that would be laughing at drew for getting covid","joy","neutral"
"754","its every where gop cowards bitch about covid staying home amp…","fear","negative"
"755","i dont normally praise a tory mp but fairplay to mr obrien for calling oututter coviddenying bulls…","fear","positive"
"756","postholiday covid surge hits new deadly recordsthehill","fear","neutral"
"757","this tweet is the bat that caused covid x","surprise","positive"
"758","covid brazilian variant sparks south america travel ban","joy","positive"
"759","how do the gov lawyers sleep at nightno realm of sanity to continue fightingopposing thismaybe if there…","fear","positive"
"760","we are loving this critifictional coursesyllabus from the year ” that imagines a syllabus for food pasts f…","joy","positive"
"761","for the recordas covid cases and deaths continue to climb in the us the pandemic of misi…","fear","positive"
"762","as democratics we must unite solely with president biden to get the agenda done for the a…","disgust","negative"
"763","it is painful enough to deal with what many of us have lost from covid amp trumpplease warn us b…","fear","negative"
"764","things i did in this room while you were standing me

i started the logicg eazyjack harlow topic 

defended…","surprise","positive"
"765","it’s not called “covid pandemic”

it’s called “<U+0001F449><U+0001F3FF>new<U+0001F448><U+0001F3FF> world order”","surprise","positive"
"766","so happy my covid results came out negative <U+0001F44F><U+0001F3FC>","joy","neutral"
"767","and with covid there was every “excuse” to show up with a mask 

but nope “masks are tyranny”","fear","negative"
"768","arizona auto glass replacement
cash back with windshield replacement
approved by all insurance com…","fear","neutral"
"769","hi friend earnest question that i also asked the teacher from op what do you…","disgust","neutral"
"770","y’all really believeniggas died from covid inalready<U+0001F602><U+0001F602><U+0001F602>","sadness","positive"
"771","the fact people think it is all hunky dory the mhra the independent gove…","joy","positive"
"772","vietnam had covid they eliminated it just like we did in nz","joy","positive"
"773","this tweet is bizarre for many reasons but mainly <U+2063>
<U+2063>
 i promise anyone who has experienced being houseless and…","joy","neutral"
"774","lmaoooo as if covid was enough a new strain of bird flu is popping up united states is gonna drop the ball again w…","anger","negative"
"775","great figurestryare nothing to worry about thatis a very old person who is frail w…","sadness","negative"
"776","yes kids need to learn socialize and develop no matter what else is going on their lives cant wait for age ap…","sadness","neutral"
"777","does anyone have the full list of artists that are blacked out now because ive lost count

regarding playing durin…","sadness","negative"
"778","covid vaccination information can be found here","joy","positive"
"779","gonna try it when the vaccine for covid is improved and distributed cause i dont wanna risk getting covid…","fear","negative"
"780","just got my second covid vaccine a couple days ago i hope we get to point soon where we can get back to almost normal","sadness","positive"
"781","very grateful for my opportunity to get the covid vaccine tomorrow <U+2728>","joy","neutral"
"782","oxigenioparamanaus
covid eruption in brazils largest state leaves health workers begging for help","fear","neutral"
"783","scariest thing is most of those without a single thought of how dire this covid situation is and the need to adhere…","fear","negative"
"784","hello just thinking about this covid amp how we handle it – j amp i didwks in sydney we had come via auck where…","disgust","positive"
"785","a covid factory just waiting to happen forced on the residents of southphilly","fear","positive"
"786","i never lie as an adult amp i cap so you read a real word so chill for this please the first of sorts modicume of…","joy","negative"
"787","sowhat is your answer to buoy your tax base and keep the bay area vitalc…","fear","negative"
"788","this was back in may i didnt see any of this
pm offeringmillion more in covid aid to indigenous people…","fear","positive"
"789","because of where ive come from i dont have to
however im going to continue acting as though i…","anger","positive"
"790","is of course at liberty to express his opposition to boris johnson and his covid strategy just as bo…","anger","positive"
"791","this is the new deal for the covid pandemic","surprise","positive"
"792","i have covidi didnt have symptoms but now i have fever wtf","fear","negative"
"793","declaraciones debusiness analytics manager en","surprise","positive"
"794","the reality is much more complicated students are paying too much and staff…","joy","negative"
"795","also much like covid many people incorrectly assumed it was j…","joy","neutral"
"796","under the countys latest directive libraries and some and some public health and park services will be reduced un…","anger","positive"
"797","worst thing about covid is not being able to taste or smell <U+0001F62D>","disgust","negative"
"798","hope u can advise my gran is ampjust home fromwks in hospital after a fall she has multiple bro…","anger","neutral"
"799","unfortunately yes although covid may have helped as social distancing means people k…","sadness","negative"
"800","as if this guyhas any room to talk about suppression of information whats going…","anger","negative"
"801","i get worried when i dont see my tweeters tweetuntil covid is goneyou better tweet regularly peopleyou hear<U+0001F621>","fear","negative"
"802","breaking mainehealth told somepatients it will start scheduling vaccines as soon as next week and will s…","fear","positive"
"803","presidentelect joe biden is set to call for atrillion plan to help americans weather the economic shock of t…","fear","negative"
"804","announcement uaiicommunity today our uaii community clinic is offering agift card for new or existing clien…","fear","positive"
"805","this is as believable as injecting bleach to get rid of covid","sadness","negative"
"806","angela merkel said she will lockdown germany for over weeks if coronavirus infection count doesnt fall the euro…","fear","negative"
"807","wake up and stop thinking of yourself spare a thought for the thousands of non covid deaths stop and think about…","anger","positive"
"808","am approved by the covid restrictions to go currently they classify me as not a “necessity” since i’m not sucida…","joy","positive"
"809","anecdotally my exwife runs a busy openplan department store no workplace transmissio…","surprise","negative"
"810","go to appointments and schedule and you will be given a big set of panels one of wh…","sadness","positive"
"811","the summer before covid i went to about six south asian weddings all clearingpeople…","joy","positive"
"812","hi i’m due to fly home from japan to the uk on monday the th at pm japan time am uk time…","anger","positive"
"813","and because of covid dont forget the pandemic","fear","negative"
"814","so i felt like crap from the st dosebut i’ve had covid and apparently the first dose kicks your ass if you’ve…","joy","positive"
"815","i know we we will miss seeing you though amanda and her husband have covidi f…","anger","positive"
"816","already since the beginning of alreadyflights have arrived in toronto with covid positive…","fear","positive"
"817","its pretty sad thousands of people are dying every day from covid tens of thousands of people are out of work amp…","fear","neutral"
"818","people dead from covid in the uk let that sink in its like someone killed off the entire population of c…","fear","negative"
"819","just heard a person is dying of covid everyminutes in la county is this what those people who repeatedly minimi…","anger","neutral"
"820","from ecuador she recounts how prayer helped her family overcome covid when she was pregnant
“i know that prayer sa…","joy","neutral"
"821","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news","fear","negative"
"822","uk reports anothercovid cases – record number now in hospital with disease","fear","neutral"
"823","its hard to tell if something comes from the newsinfluencers or real reliable factual news sour…","anger","neutral"
"824","i have to sneeze in a public place but it’s not covid i’m just allergic to this cancer y’all keep smoking around me","fear","negative"
"825","so apparently you need an id to get a covid test but not to vote","sadness","negative"
"826","covid update victoria records no new local coronavirus cases fromtests","surprise","positive"
"827","back to work after kicking covids butt thank god your fave nurse is back<U+0001F929><U+0001F60A>","joy","positive"
"828","because the ceo who helped push out wynn is a raving lunatic who want people to be chipp…","fear","negative"
"829","uk will ban all travellers who have been 

more 

air body call cargo company…","anger","negative"
"830","i am once again asking for somebody to come and hold mecovid safeand respectfully thank you <U+0001F974>","anger","positive"
"831","it’s just a rumor every game it’s getting delay because of covid and pushed date to next yearso that will…","fear","negative"
"832","the point is covid is running rampant in nhs hospitals at the moment obviou…","joy","neutral"
"833","i get my covid test results back tomorrow <U+0001F600> funny how i got exposed at work of all places but had to work bc the go…","joy","neutral"
"834","how to sign up for the covid vaccine in butler county","surprise","positive"
"835","trees can’t get covid that’s why nam doesn’t have any cases…","joy","negative"
"836","i think we have heard enough about the masks my daughter and son in law have covid do…","fear","positive"
"837","my favourite line is defended religious libertyto all people of faithunless youre muslim and nor…","fear","positive"
"838","sick i went to the beyond the streets art show before covid out here in los angeles it was dope","fear","negative"
"839","should write an oped about this if you want schools to open you need to keep our tea…","sadness","neutral"
"840","covid brazil hospitals run out of oxygen for virus patients","fear","negative"
"841","im very much impressed by president bidens covid relief plan","joy","positive"
"842","overmillion cases of covid in the us so far almost the entire population of australia and almost the entire p…","disgust","positive"
"843","monument board of trustees passes resolution opposing covid restrictions","surprise","positive"
"844","you guys— i woke up from a postcovid vaccine nap and my husband took it upon himself to order takeout without cons…","joy","positive"
"845","covid sask reportscasesrecoveries record hospitalizations","surprise","positive"
"846","day 

covid is getting worse","disgust","negative"
"847","national guard provides covid vaccine help in overwhelmed states","fear","neutral"
"848","is prepared to to crush covid and buildbackbetter thats why his relief package will
 
<U+2705>contain th…","joy","positive"
"849","covids toll on smell and taste what scientists do and dont know","disgust","neutral"
"850","settlements dwellers smell covid corruption","disgust","negative"
"851","up coverage
urban covid
unemployment capitol
unarmed calls
updates coronavirus
ultra cargo
upgraded censure
use cindy","surprise","neutral"
"852","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinforma…","fear","positive"
"853","man yeah my fucked lungs and heart months after my covid infection thank you for this bullshit","joy","positive"
"854","biden’s cabinet picks are a missed opportunity for change we need in a covid recessionusa today","fear","neutral"
"855","i just want to take the time to saythank you tofor being one of the positive impacts in my life that…","fear","positive"
"856","“we appreciate our vaccinators are looking ahead however teachers are not currently eligible for the covid vac…","surprise","positive"
"857","you not doing the black party this year for your bday with larrynot tryna get covid huh","joy","negative"
"858","trashnite with covid","surprise","positive"
"859","texas becomes first state to give outmillion doses of covid vaccinethe texas tribune","joy","positive"
"860","heard on the news that aboutpeople are expected to die from covid in the nextweeks please wear a mask…","joy","positive"
"861","nacds says they can givecovid vaccinations in one monthhit ‘em uphomenational association of…","anger","positive"
"862","protecting scarboroughtown hall discussion withaddressing how we can best pr…","fear","positive"
"863","created by the biggest idiot to ever sit in the office of the president obama left hi…","fear","negative"
"864","throwing a party for only people who have tested positive for covidhow bout that","joy","positive"
"865","people ask me if i ever played paper magic before covid i barely played arena i would have the most fun playing w…","joy","negative"
"866","it’s a real bummer we’d had the pass for a little over a year when covid hit and it was a nice way…","joy","neutral"
"867","early reports were of an unknown viral pneumonia which was highly contagious

then name covid got slapped on a…","fear","negative"
"868","this is absolutely outrageousmust resign immediately and deal with her quarrel wi…","anger","neutral"
"869","when i used to see the covid spread numbers i would be very disappointed now vaccines offer optimism for …","anger","neutral"
"870","mass is nd in terms of administering the doses weve been sent and th in terms of percapita coverage totally…","fear","positive"
"871","tell me what else you are doing 

 are you increasing ventilation
 
 have you bought a highquality hospitalgra…","surprise","positive"
"872","im not talking about the situation anymore im so done with people idc if they unfollow it dont hurt me im goi…","fear","negative"
"873","the south carolina mens basketball team returns to action after its latest covid pause but will be without hc f…","joy","positive"
"874","congratulationsyoure my go to newsfeed for covid updates","surprise","positive"
"875","the stars covid outbreak threw off of their plans in terms of roster and cap management 
luckily the front offic…","anger","positive"
"876","thisfrom the people who’ve got everything wrong on covidis obviously deranged given we’re now in the worst p…","fear","negative"
"877","i just signed up for my covid vaccine","surprise","positive"
"878","florida’s surgeon general “the federal government has advised that this is a federal…","fear","positive"
"879","op caused covid to happen i think","surprise","positive"
"880","open photo

cyclists in utrecht <U+0001F1F3><U+0001F1F1> wait outside in line next to idling cars waiting in line for covid testing <U+0001F44E>","fear","neutral"
"881","i miss pre covid and walking in the club hearing doin it by moneybagg","sadness","negative"
"882","for the recordas covid cases and deaths continue to climb in the us the pandemic of misi…","fear","positive"
"883","seriously the list is way too long if you don’t know you’ve been in the dark for the lasty…","sadness","negative"
"884","we also know that the people who listen to his stupid covid advice are more likely to fa…","joy","neutral"
"885","moderna ceo says the world will have to live with covid forever","sadness","positive"
"886","in a newly published article keith barnhill phd crna arnp et al presents a phase reopening framework use…","joy","positive"
"887","we need mo retroactive to march we have lost so much during this and gained so much debt that…","sadness","negative"
"888","something i need to know the answer to how come i can’t make a living due to covid yet movies tv shows and music…","joy","neutral"
"889","anyone whos paying attention knows that the covid virus has a survival rate offor the vast majority of peop…","joy","neutral"
"890","past covid infection can give immunity formonths – but you can still transmit the virus","joy","negative"
"891","took covid vaccine last week real just buggin a lil but im all good <U+0001F603><U+0001F44D>","joy","positive"
"892","round threedereliction of duty for his covid lies and inaction","surprise","negative"
"893","an increase in aca subsidies is in the new biden covid relief package <U+0001F64C><U+0001F3FC>","joy","positive"
"894","having my usual “cooking dinner snack”eating pecans while i make beef with broccolii blame covid","anger","negative"
"895","and nobody dead for covid","anger","negative"
"896","full blown covid sounds like full blown aids but whatever happy recovery stop spreading covid by…","joy","positive"
"897","biden to announcechecks and national vaccination program as part oftrillion covidrelief plan","fear","negative"
"898","that covid wasnt as deadly as the flu","fear","negative"
"899","maybe you should focus on what you can actually help with unemployment vaccine distribution covi…","fear","positive"
"900","three dozen mayors ask biden for direct shipments of covid vaccine","surprise","negative"
"901","cuomo lied about having covid don lemon is an embarrassment","fear","negative"
"902","an amazing example of efficiencyreceived my first poke of the covid vaccine todaythank you…","anger","positive"
"903","sorry to hear it i know how you feel we lostfamily members since octomberof them to covid then i…","disgust","neutral"
"904","isampgoing to “buy” into private hospitals liketo provide urge…","surprise","positive"
"905","i spoke with a wiassembly staffer earlier amp mentioned setting up mtgs with legislators in the time of covid he s…","anger","positive"
"906","biden’strillion covid relief plan calls for stimulus checks unemployment support and more

read…","joy","positive"
"907","see its attitudes like that mean we are gonna have to endure covid for even longer bec…","joy","positive"
"908","does this mask make my covid look big","anger","positive"
"909","governor hogan announces expansion of covid vaccine eligibility for marylandersand over","surprise","positive"
"910","“she says patients whove had covid symptoms show a severe chest xray every time and those who were asymptomat…","anger","negative"
"911","oh dear looks like shares in twitter have contracted covid<U+0001F927><U+0001F927><U+0001F927><U+0001F637><U+0001F637><U+0001F637>","joy","positive"
"912","inaustralians in numbers stormed parliament houses across the country with weapons tying kits and nooses de…","surprise","positive"
"913","i just want a work from home job i’m not going back to the nail salon especially with all this covid shit","fear","positive"
"914","it was also a line forged out of the new zealand fundamentalism of your favourite academic given how int…","fear","negative"
"915","i’m a canadian who lost my employment because of covid 
i’m a huge fan in fact many of my family and f…","joy","negative"
"916","nigeria gave who cholera vaccine inbut lame today against covid","disgust","negative"
"917","nah thats the good news i was worried that i had covid","joy","negative"
"918","the national news networks are currently showing personsand older getting the covid vaccination in california a…","joy","negative"
"919","some woman sharing her grievances somehow is supposed to imply that covids a hoax<U+0001F602><U+0001F602><U+0001F602> yeah this is re…","joy","negative"
"920","even if i got covid ua still wouldn’t give me my money back <U+2764><U+FE0F>","joy","positive"
"921","this is a news article based on a scientific study i would seek out the study and give y…","joy","positive"
"922","a covid super spreader machine with lethal consequences for your children but ppl sit here and say yeah open up","disgust","neutral"
"923","past covid infection can give immunity formonths – but you can still transmit the virus","joy","negative"
"924","my sources are telling me jokic was out playing pokémon go and contracted covid","surprise","positive"
"925","we will be unstoppable in those parks the day it is covid safe whenever that may be we are ready <U+270B><U+0001F3FB>","fear","positive"
"926","im sorry covid took my uncle eddie too","disgust","negative"
"927","“vaccine tourism” florida visitors can get covid shots and residents aren’t thrilledthe wall street journal","joy","negative"
"928","in new jersey peopleand older and peopleand older with highrisk medical conditions are eligible for the v…","fear","positive"
"929","my uncle who i always dog sat for has covid hoping he’ll be okay <U+0001F643>","disgust","positive"
"930","one of my biggest fears with our horrible response to covid and sluggish vaccine distribution was the emergence of…","fear","negative"
"931","zero cases of covid but victorians cant return home everyone has lost the plot","anger","negative"
"932","grateful to see the new review article out following three rounds of peer review per dr…","joy","positive"
"933","wonder where he is now probably taking part in rallies against masks and covid restrictions since he’s so “pro life”","fear","positive"
"934","keep up c people have been screaming about this for monthsyou lot have probably been…","joy","positive"
"935","unfortunately we live in a society that tends to take their sick and their elderly lock them away li…","fear","negative"
"936","does anybody else feel like antimaskers and people who compare covid to the flu should not get a vaccine shot","fear","neutral"
"937","damn <U+0001F615> <U+2192>brazil is ranked number two in the world lists of covid<U+30FC> fataliti…","anger","neutral"
"938","drove an hour to campus to spit in a tube <U+0001F610> yay covid testing","disgust","positive"
"939","someone using the gym attached to my works building tested positive for covid they share the elevator amp garage…","joy","positive"
"940","notre goal a tous post covidun bbq <U+270C><U+0001F3FB><U+0001F602>","fear","positive"
"941","better not be covid enforcement related","surprise","positive"
"942","hey guys theres an antidote to covid believers
i wouldnt take it i have developed a natural immunity from my…","joy","positive"
"943","coping with the changes covid created in employees workdayemployeeexperience virtualmeetings","sadness","negative"
"944","does it include the expansion of ffcra to includeweeks of covid sick leave and time off for school…","anger","negative"
"945","much more info available online about it now","joy","positive"
"946","covid beard ftw","surprise","positive"
"947","but covid relief will increase the deficit","anger","positive"
"948","i read here that a symptom of covid is hip joint pain which started for me a week ago but is gone now","fear","negative"
"949","i apologise in advance for old fart language its my age excuse me

im in casualty 

…","fear","negative"
"950","what if implicit bias backfires and makes the problem worse 

defenders of the…","fear","negative"
"951","and covid got no bars open in seattle","surprise","positive"
"952","working women of color were making progress then the coronavirus hit","joy","positive"
"953","my heart goes out to anyone who is mourning a loved one just hearing so many covid stories and its scary how people just die","fear","neutral"
"954","even better sign the covid stimulus checks at the bottom “black lives matter”","fear","positive"
"955","young doctor explains why he’s against forced covid vaccine","fear","positive"
"956","while covid pushes the nhs to breaking point private healthcare is thrivingpolly toynbeeopinionthe guardi…","fear","positive"
"957","i wanna see what happens after people take the vaccine and covid cases are still rising <U+0001F928><U+0001F9D0>","joy","positive"
"958","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news","fear","negative"
"959","false rumors of spare covid vaccines on social media spark frenzy in nyc","anger","negative"
"960","not uno but can suggest covid based monopoly my friend coded this game","fear","neutral"
"961","it’s taken a pandemic but i honestly feel like covid and zoom audiences on question time are bringing us more c…","fear","neutral"
"962","does covid make your hair fall out","anger","negative"
"963","fantastic an excellent leap in the right direction you will experience criticis…","joy","positive"
"964","tell me again how we dont have money for covid relief healthcare education etc god i hate this administration…","joy","neutral"
"965","in what county","surprise","positive"
"966","ur covid patients in hosp are on the rise","fear","positive"
"967","our government has contempt for us
even brazil is giving citizens a stipend during covid","fear","negative"
"968","that’s irrelevant last year there were …","fear","negative"
"969","“i got the covid vaccine from moderna” 
and then she proceeds to…","surprise","positive"
"970","that would be none of them the hospitalization rate for new covid cases in joco isdeath rate is close to …","joy","negative"
"971","oh man i have a friend who is having a bad reaction to the vaccine but she also had covid itself like two weeks ago…","joy","negative"
"972","years ago hadyoung children worked ft hrly mngmt wcrappycappedbenefit…","anger","positive"
"973","yo there aremillion covid cases in the united states as of today this shit is reality amp it’s scary","fear","negative"
"974","i think i need to get a covid test but it feels extremely irresponsible to take the bus and the nearest testing ce…","joy","negative"
"975","mais
lockdown mais

…","surprise","positive"
"976","nobody wants to hear this bullshit covidhasnt just hit lfc","anger","positive"
"977","an experimental vaccine is a foolish panacea","surprise","negative"
"978","missouri moves to b tiertoday which includes all healthcare workersib tierstarts monday which includes …","surprise","positive"
"979","covid","surprise","positive"
"980","and then two weeks later hanks was the first household name to “get” covidand then americans as pl…","anger","positive"
"981","i lost a cousin to covid complications today 

he was a navy vet with an engineers mind that took him to ant…","joy","negative"
"982","children of all ages are susceptible to and can transmit sarscov younger children appear to be less susceptibl…","disgust","negative"
"983","eight unusual covid vaccination sites around the world","surprise","neutral"
"984","people dying everyday in us and joe rogan is strongly affirming that people overreacted to covid","anger","negative"
"985","this is so much uninformed garbage

teenagers are being admitted with covid amp one of the effects in a significant…","disgust","negative"
"986","i want to work with other plus size sex workers but covid has me crazy paranoid <U+0001F613>","fear","neutral"
"987","austin public healths stateapproved hub for the distribution of covid vaccines provided nearlydoses to…","fear","negative"
"988","covid has kept me from uncomfortable social settings and that’s about the only good to come from it","sadness","neutral"
"989","cbs says mass below national average in distribution of vaccines maybe we sh…","anger","negative"
"990","covid japanese top league postponed until next month afterpositive tests","surprise","positive"
"991","how can she say in january what is going to happen in june with covid the lc is always…","surprise","positive"
"992","all these party flyers in the middle of covid aggy","joy","positive"
"993","ivanka the insurrection and your fathers impeachment are still front and center we are…","anger","negative"
"994","pls share covid update joe biden announcestrillion covid economic package","joy","positive"
"995","we are committed to vaccinating our members as soon as possible given available supply due to high demand we are…","anger","positive"
"996","she’s a saint and deserves one at the us capitol for her contributions to the covid vaccine and the preside…","anger","positive"
"997","i no understand o be like say na covid","joy","positive"
"998","been having shortness of breath lately not covidso until thats sorted out only then i can smoke","surprise","negative"
"999","i believe covid deaths peaked today asreported<U+0001F633>","surprise","positive"
"1000","in the mood to catch a comedy show blasted with some drinks but covid is kicking all our asses","joy","negative"
