"","x"
"831","it’s just a rumor every game it’s getting delay because of covid and pushed date to next yearso that will…"
"832","the point is covid is running rampant in nhs hospitals at the moment obviou…"
"833","i get my covid test results back tomorrow <U+0001F600> funny how i got exposed at work of all places but had to work bc the go…"
"834","how to sign up for the covid vaccine in butler county"
"835","trees can’t get covid that’s why nam doesn’t have any cases…"
"836","i think we have heard enough about the masks my daughter and son in law have covid do…"
"837","my favourite line is defended religious libertyto all people of faithunless youre muslim and nor…"
"838","sick i went to the beyond the streets art show before covid out here in los angeles it was dope"
"839","should write an oped about this if you want schools to open you need to keep our tea…"
"840","covid brazil hospitals run out of oxygen for virus patients"
"841","im very much impressed by president bidens covid relief plan"
"842","overmillion cases of covid in the us so far almost the entire population of australia and almost the entire p…"
"843","monument board of trustees passes resolution opposing covid restrictions"
"844","you guys— i woke up from a postcovid vaccine nap and my husband took it upon himself to order takeout without cons…"
"845","covid sask reportscasesrecoveries record hospitalizations"
"846","day 

covid is getting worse"
"847","national guard provides covid vaccine help in overwhelmed states"
"848","is prepared to to crush covid and buildbackbetter thats why his relief package will
 
<U+2705>contain th…"
"849","covids toll on smell and taste what scientists do and dont know"
"850","settlements dwellers smell covid corruption"
"851","up coverage
urban covid
unemployment capitol
unarmed calls
updates coronavirus
ultra cargo
upgraded censure
use cindy"
"852","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinforma…"
"853","man yeah my fucked lungs and heart months after my covid infection thank you for this bullshit"
"854","biden’s cabinet picks are a missed opportunity for change we need in a covid recessionusa today"
"855","i just want to take the time to saythank you tofor being one of the positive impacts in my life that…"
"856","“we appreciate our vaccinators are looking ahead however teachers are not currently eligible for the covid vac…"
"857","you not doing the black party this year for your bday with larrynot tryna get covid huh"
"858","trashnite with covid"
"859","texas becomes first state to give outmillion doses of covid vaccinethe texas tribune"
"860","heard on the news that aboutpeople are expected to die from covid in the nextweeks please wear a mask…"
"861","nacds says they can givecovid vaccinations in one monthhit ‘em uphomenational association of…"
"862","protecting scarboroughtown hall discussion withaddressing how we can best pr…"
"863","created by the biggest idiot to ever sit in the office of the president obama left hi…"
"864","throwing a party for only people who have tested positive for covidhow bout that"
"865","people ask me if i ever played paper magic before covid i barely played arena i would have the most fun playing w…"
"866","it’s a real bummer we’d had the pass for a little over a year when covid hit and it was a nice way…"
"867","early reports were of an unknown viral pneumonia which was highly contagious

then name covid got slapped on a…"
"868","this is absolutely outrageousmust resign immediately and deal with her quarrel wi…"
"869","when i used to see the covid spread numbers i would be very disappointed now vaccines offer optimism for …"
"870","mass is nd in terms of administering the doses weve been sent and th in terms of percapita coverage totally…"
"871","tell me what else you are doing 

 are you increasing ventilation
 
 have you bought a highquality hospitalgra…"
"872","im not talking about the situation anymore im so done with people idc if they unfollow it dont hurt me im goi…"
"873","the south carolina mens basketball team returns to action after its latest covid pause but will be without hc f…"
"874","congratulationsyoure my go to newsfeed for covid updates"
"875","the stars covid outbreak threw off of their plans in terms of roster and cap management 
luckily the front offic…"
"876","thisfrom the people who’ve got everything wrong on covidis obviously deranged given we’re now in the worst p…"
"877","i just signed up for my covid vaccine"
"878","florida’s surgeon general “the federal government has advised that this is a federal…"
"879","op caused covid to happen i think"
"880","open photo

cyclists in utrecht <U+0001F1F3><U+0001F1F1> wait outside in line next to idling cars waiting in line for covid testing <U+0001F44E>"
"881","i miss pre covid and walking in the club hearing doin it by moneybagg"
"882","for the recordas covid cases and deaths continue to climb in the us the pandemic of misi…"
"883","seriously the list is way too long if you don’t know you’ve been in the dark for the lasty…"
"884","we also know that the people who listen to his stupid covid advice are more likely to fa…"
"885","moderna ceo says the world will have to live with covid forever"
"886","in a newly published article keith barnhill phd crna arnp et al presents a phase reopening framework use…"
"887","we need mo retroactive to march we have lost so much during this and gained so much debt that…"
"888","something i need to know the answer to how come i can’t make a living due to covid yet movies tv shows and music…"
"889","anyone whos paying attention knows that the covid virus has a survival rate offor the vast majority of peop…"
"890","past covid infection can give immunity formonths – but you can still transmit the virus"
"891","took covid vaccine last week real just buggin a lil but im all good <U+0001F603><U+0001F44D>"
"892","round threedereliction of duty for his covid lies and inaction"
"893","an increase in aca subsidies is in the new biden covid relief package <U+0001F64C><U+0001F3FC>"
"894","having my usual “cooking dinner snack”eating pecans while i make beef with broccolii blame covid"
"895","and nobody dead for covid"
"896","full blown covid sounds like full blown aids but whatever happy recovery stop spreading covid by…"
"897","biden to announcechecks and national vaccination program as part oftrillion covidrelief plan"
"898","that covid wasnt as deadly as the flu"
"899","maybe you should focus on what you can actually help with unemployment vaccine distribution covi…"
"900","three dozen mayors ask biden for direct shipments of covid vaccine"
"901","cuomo lied about having covid don lemon is an embarrassment"
"902","an amazing example of efficiencyreceived my first poke of the covid vaccine todaythank you…"
"903","sorry to hear it i know how you feel we lostfamily members since octomberof them to covid then i…"
"904","isampgoing to “buy” into private hospitals liketo provide urge…"
"905","i spoke with a wiassembly staffer earlier amp mentioned setting up mtgs with legislators in the time of covid he s…"
"906","biden’strillion covid relief plan calls for stimulus checks unemployment support and more

read…"
"907","see its attitudes like that mean we are gonna have to endure covid for even longer bec…"
"908","does this mask make my covid look big"
"909","governor hogan announces expansion of covid vaccine eligibility for marylandersand over"
"910","“she says patients whove had covid symptoms show a severe chest xray every time and those who were asymptomat…"
"911","oh dear looks like shares in twitter have contracted covid<U+0001F927><U+0001F927><U+0001F927><U+0001F637><U+0001F637><U+0001F637>"
"912","inaustralians in numbers stormed parliament houses across the country with weapons tying kits and nooses de…"
"913","i just want a work from home job i’m not going back to the nail salon especially with all this covid shit"
"914","it was also a line forged out of the new zealand fundamentalism of your favourite academic given how int…"
"915","i’m a canadian who lost my employment because of covid 
i’m a huge fan in fact many of my family and f…"
"916","nigeria gave who cholera vaccine inbut lame today against covid"
"917","nah thats the good news i was worried that i had covid"
"918","the national news networks are currently showing personsand older getting the covid vaccination in california a…"
"919","some woman sharing her grievances somehow is supposed to imply that covids a hoax<U+0001F602><U+0001F602><U+0001F602> yeah this is re…"
"920","even if i got covid ua still wouldn’t give me my money back <U+2764><U+FE0F>"
"921","this is a news article based on a scientific study i would seek out the study and give y…"
"922","a covid super spreader machine with lethal consequences for your children but ppl sit here and say yeah open up"
"923","past covid infection can give immunity formonths – but you can still transmit the virus"
"924","my sources are telling me jokic was out playing pokémon go and contracted covid"
"925","we will be unstoppable in those parks the day it is covid safe whenever that may be we are ready <U+270B><U+0001F3FB>"
"926","im sorry covid took my uncle eddie too"
"927","“vaccine tourism” florida visitors can get covid shots and residents aren’t thrilledthe wall street journal"
"928","in new jersey peopleand older and peopleand older with highrisk medical conditions are eligible for the v…"
"929","my uncle who i always dog sat for has covid hoping he’ll be okay <U+0001F643>"
"930","one of my biggest fears with our horrible response to covid and sluggish vaccine distribution was the emergence of…"
"931","zero cases of covid but victorians cant return home everyone has lost the plot"
"932","grateful to see the new review article out following three rounds of peer review per dr…"
"933","wonder where he is now probably taking part in rallies against masks and covid restrictions since he’s so “pro life”"
"934","keep up c people have been screaming about this for monthsyou lot have probably been…"
"935","unfortunately we live in a society that tends to take their sick and their elderly lock them away li…"
"936","does anybody else feel like antimaskers and people who compare covid to the flu should not get a vaccine shot"
"937","damn <U+0001F615> <U+2192>brazil is ranked number two in the world lists of covid<U+30FC> fataliti…"
"938","drove an hour to campus to spit in a tube <U+0001F610> yay covid testing"
"939","someone using the gym attached to my works building tested positive for covid they share the elevator amp garage…"
"940","notre goal a tous post covidun bbq <U+270C><U+0001F3FB><U+0001F602>"
"941","better not be covid enforcement related"
"942","hey guys theres an antidote to covid believers
i wouldnt take it i have developed a natural immunity from my…"
"943","coping with the changes covid created in employees workdayemployeeexperience virtualmeetings"
"944","does it include the expansion of ffcra to includeweeks of covid sick leave and time off for school…"
"945","much more info available online about it now"
"946","covid beard ftw"
"947","but covid relief will increase the deficit"
"948","i read here that a symptom of covid is hip joint pain which started for me a week ago but is gone now"
"949","i apologise in advance for old fart language its my age excuse me

im in casualty 

…"
"950","what if implicit bias backfires and makes the problem worse 

defenders of the…"
"951","and covid got no bars open in seattle"
"952","working women of color were making progress then the coronavirus hit"
"953","my heart goes out to anyone who is mourning a loved one just hearing so many covid stories and its scary how people just die"
"954","even better sign the covid stimulus checks at the bottom “black lives matter”"
"955","young doctor explains why he’s against forced covid vaccine"
"956","while covid pushes the nhs to breaking point private healthcare is thrivingpolly toynbeeopinionthe guardi…"
"957","i wanna see what happens after people take the vaccine and covid cases are still rising <U+0001F928><U+0001F9D0>"
"958","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news"
"959","false rumors of spare covid vaccines on social media spark frenzy in nyc"
"960","not uno but can suggest covid based monopoly my friend coded this game"
"961","it’s taken a pandemic but i honestly feel like covid and zoom audiences on question time are bringing us more c…"
"962","does covid make your hair fall out"
"963","fantastic an excellent leap in the right direction you will experience criticis…"
"964","tell me again how we dont have money for covid relief healthcare education etc god i hate this administration…"
"965","in what county"
"966","ur covid patients in hosp are on the rise"
"967","our government has contempt for us
even brazil is giving citizens a stipend during covid"
"968","that’s irrelevant last year there were …"
"969","“i got the covid vaccine from moderna” 
and then she proceeds to…"
"970","that would be none of them the hospitalization rate for new covid cases in joco isdeath rate is close to …"
"971","oh man i have a friend who is having a bad reaction to the vaccine but she also had covid itself like two weeks ago…"
"972","years ago hadyoung children worked ft hrly mngmt wcrappycappedbenefit…"
"973","yo there aremillion covid cases in the united states as of today this shit is reality amp it’s scary"
"974","i think i need to get a covid test but it feels extremely irresponsible to take the bus and the nearest testing ce…"
"975","mais
lockdown mais

…"
"976","nobody wants to hear this bullshit covidhasnt just hit lfc"
"977","an experimental vaccine is a foolish panacea"
"978","missouri moves to b tiertoday which includes all healthcare workersib tierstarts monday which includes …"
"979","covid"
"980","and then two weeks later hanks was the first household name to “get” covidand then americans as pl…"
"981","i lost a cousin to covid complications today 

he was a navy vet with an engineers mind that took him to ant…"
"982","children of all ages are susceptible to and can transmit sarscov younger children appear to be less susceptibl…"
"983","eight unusual covid vaccination sites around the world"
"984","people dying everyday in us and joe rogan is strongly affirming that people overreacted to covid"
"985","this is so much uninformed garbage

teenagers are being admitted with covid amp one of the effects in a significant…"
"986","i want to work with other plus size sex workers but covid has me crazy paranoid <U+0001F613>"
"987","austin public healths stateapproved hub for the distribution of covid vaccines provided nearlydoses to…"
"988","covid has kept me from uncomfortable social settings and that’s about the only good to come from it"
"989","cbs says mass below national average in distribution of vaccines maybe we sh…"
"990","covid japanese top league postponed until next month afterpositive tests"
"991","how can she say in january what is going to happen in june with covid the lc is always…"
"992","all these party flyers in the middle of covid aggy"
"993","ivanka the insurrection and your fathers impeachment are still front and center we are…"
"994","pls share covid update joe biden announcestrillion covid economic package"
"995","we are committed to vaccinating our members as soon as possible given available supply due to high demand we are…"
"996","she’s a saint and deserves one at the us capitol for her contributions to the covid vaccine and the preside…"
"997","i no understand o be like say na covid"
"998","been having shortness of breath lately not covidso until thats sorted out only then i can smoke"
"999","i believe covid deaths peaked today asreported<U+0001F633>"
"1000","in the mood to catch a comedy show blasted with some drinks but covid is kicking all our asses"
