"","x"
"491","PCSO's issued three Covid-19 fines tonight due to having reports of people visiting an address who should not have… https://t.co/PREPG7wHZD"
"492","@WalshFreedom @DWUhlfelderLaw The man opened Floridia full steam ahead and no Covid precautions for the state.  Can… https://t.co/BSoZpA32nG"
"493","@manifestingmary Well my family is in okc and it’s open with no mask mandates and my brother and sister both got Co… https://t.co/TcGbG4sLTg"
"494","I don't believe ""the experts"" anymore. They are contradicting each other on a daily basis. Earlier a NHS paramedic,… https://t.co/ju9qqicCsB"
"495","@laurenboebert Brilliant idea Lauren, only 160 Americans currently die of covid every single hour of the day so who… https://t.co/tS9MfvDNIG"
"496","MLK Day back home in small town Souf Florida be so LIT!! But Covid ol nasty ahh f’d it up<U+0001F612> I just wanted to get dressed and walk thru<U+0001F485><U+0001F3FE>"
"497","If you are looking for Rapid RNA Covid test, you can now book at https://t.co/90U9ppsOEp

First time in Canada, get… https://t.co/70URWxFSCr"
"498","@MarkSupertaf99 @markthomas157cb @1RichiePhillips Japan is an island nation, population twice the size of U.K. with… https://t.co/29zNW9vltK"
"499","Army’s COVID-19 vaccine may hold key to beating coronavirus mutations https://t.co/OyRnzdzHkv"
"500","@IrexitFreedom You are peddling dangerous misinformation and you need to stop. This covid thing is serious"
"501","@daveleys4 That’s absolutely not my point. Pre existing medical condition or not my understanding is they are at si… https://t.co/yxjsSFu9n9"
"502","@edwardpoole1975 Some Irish professor going viral about the vaccine killing people won’t help! Some info to counter… https://t.co/wZDRXjuNv7"
"503","Faced with complaints about Florida’s maddening system for distributing #COVIDvaccines, Florida Surgeon General Dr.… https://t.co/KgTtfr3gId"
"504","President-elect Joe Biden has a great COVID-19 relief plan!"
"505","Covid-19 day 17. Still in hospital, day14 of antibiotics, steroids &amp; slowly improving stats. I've avoided ICU as Do… https://t.co/mdV5QjPvqd"
"506","@GeneD2112 @MrPanzin @nsarwark @RepThomasMassie CoViD-19 is a whole other can of worms! 

While we need national, s… https://t.co/E1OVxSZOA3"
"507","No better time than now to tackle your first open source contribution! 'Ajuste no Mobile' https://t.co/J4PbLX1nfc"
"508","January 14 COVID-19 Test Results; Record 7-Day Deaths https://t.co/sUniymwrns https://t.co/BXKKnOcMTn"
"509","6 Reasons to Start a Business Online: Given the changed reality that most of the globe has been facing over the rec… https://t.co/aZJ996XgP8"
"510","Alberta eases some COVID-19 restrictions https://t.co/0BiJJ4ZjAx"
"511","We are approaching the time when the peer reviewed and more meticulously done SARS-CoV2/COVID research is emerging.… https://t.co/68C8faZifr"
"512","Starting the 26th you’ll need a negative covid test to come back into the US"
"513","Baltimore City Schools Expand In-Person Learning Options Starting Feb. 16 - CBS Baltimore https://t.co/9JxYNw9lh6"
"514","@DShepYEG  Sir, heath problems r in yr region, NDP territory is big issue. Edm, most covid cases, mst in ICU 48% or… https://t.co/uFnENrupwk"
"515","Alberta eases some COVID-19 restrictions https://t.co/VJh4MhjVd7"
"516","Taking a COVID-19 test at home is weird because most of it is just sitting on a Zoom call alone, holding a tube of your own spit."
"517","Active COVID-19 cases in B.C. fall to lowest total in almost 10 weeks https://t.co/lFNZmlw9Zu"
"518","THE WEEK Exclusive: Chinese virologist Dr Li-Meng Yan says COVID-19 viru... https://t.co/mQAMoFvl2S <U+6765><U+81EA> @YouTube"
"519","JUST IN: Pres.-elect Biden is expected to detail his $1.9T relief package in a primetime address Thursday—which wil… https://t.co/oUQWWQQgf1"
"520","@50Politics @UDontNeedMyMail @DHSWI Optimal occupancy for a hospital is 80-85%; only about 4% of the active cases a… https://t.co/ComCuG3ylA"
"521","@ksorbs Are you serious. My mother had covid and it got really scary. how could you say that, and encourage people not to. Very wrong."
"522","Biden ...""will make his case for...more direct cash to Americans, an extension of and increase to supplemental empl… https://t.co/U2JGegmIdF"
"523","6 days after contracting covid-19 on placement, my lateral test has come back as positive, please be aware that the… https://t.co/2UcnL17z52"
"524","@NadineDorries Ahead of every other European nation in the Covid death toll too. Well done."
"525","Pandemic tech to help battle COVID-19 at CES 2021     - CNET https://t.co/wfUP2Ik9ED #technie #womenintech #tech"
"526","Brazil: Manaus, in the heart of the Amazon forest, is a mess. Covid-19 patients are dying suffocated in hospitals w… https://t.co/KAHSxONVD1"
"527","""Providers throughout the world have now seen many cases of COVID-19, and know much more about how it affects pregn… https://t.co/udcvctauMd"
"528","@RogerGalligan @JonatanMustafi @FatEmperor Nobody minimising anything. People dying of covid and lockdown is ruinin… https://t.co/JeOR7lXZum"
"529","@MUFCgoldenERA @SH_LFC1 Fabinho and Keita didn’t start playing for us until atleast half way through the season whe… https://t.co/iDV0KYcHrw"
"530","@NeilDotObrien Retweeting someone elses tweets like this is just plain silly. What do you mean by Covid sceptics? I… https://t.co/5Ee8UiagiF"
"531","One person dying every 6 minutes from COVID-19!  Trump lied that this pandemic was a “Democrat Hoax”.  Now we have… https://t.co/1dkSp4elCT"
"532","Schools, college should remain closed because covid is on full rise and we cant risk our lives.
#CloseSchoolsNOW… https://t.co/Bph4OmIV6w"
"533","@realreporter Dr Tam supports vaccine dosage delay. Pfizer statement: 
<U+274C>”Safety/efficacy has NOT been evaluated on… https://t.co/WBmLBQxRj1"
"534","@ervstours @NeaminZeleke @Martha_Eyob @Adulis_Kiloma @hawelti @mfaethiopia @AmharaPAC @AbiyAhmedAli @debroDar… https://t.co/7ZuxaL8EIA"
"535","Opinion: Why we’re not doing better on COVID vaccines. https://t.co/06VLpG0iUG"
"536","Finally some numbers behind my concern. How many excess deaths have occurred because of lack of resources related t… https://t.co/GbpcKmLoaM"
"537","For everyone :)

Unreported Truths about COVID-19 and Lockdowns: Part 1: Introduction and Death Counts and Estimates https://t.co/wtHeCxuHty"
"538","@BobbyKiester @marklevinshow No, no, no.  Hitler was completely on top of Covid.  He realized early on that having… https://t.co/eolwMHosLr"
"539","@TheEconomist Taiwan’s handling is pure luck and a joke.. China banned group tour to Taiwan a few months ahead of C… https://t.co/aUkyVgQuID"
"540","@ChrisCuomo The only time you cover children is when they’ve been affected by Trump. Schools are reopening during t… https://t.co/d7pn66gShp"
"541","So much love and respect for these brave folks. These are the kind of risk-takers we need. The ecological emergency… https://t.co/dbLI4yknVy"
"542","3 mil+ new covid cases and 40k deaths since January 1st and were supposed to go back to “normal” this year? I just… https://t.co/BvpyYKFIOu"
"543","The first death from Covid in China for eight months today (Source Sky News) apparently. They say the virus there i… https://t.co/oPd2H5UkvL"
"544","@pazzazaz However, NSW Health currently recommends delaying non-essential travel within NSW, especially between Gre… https://t.co/Jv98jFGBGF"
"545","Niggas out here being safe and STILL gettin COVID.......<U+0001F644><U+0001F644><U+0001F644><U+0001F644> is me....I’m niggas"
"546","@Crazy_Guido covid-21"
"547","This Covid vaccine art has some NFT potential. https://t.co/nyxM2Jgepq"
"548","@JudeVickers @jneill @Nemeses667 @BreezerGalway @DaveJenks2020 @TheFreds My argument is lockdowns are not effective… https://t.co/qdijiGMCDr"
"549","My @PostOpinions column on why the @NBC sitcom #MrMayor isn't all that funny -- not a lot of comedy to be mined in… https://t.co/iudPvt3zFi"
"550","Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/vkfpArKyde"
"551","@RLFelty @natalieresists3 @uncensoredfem @SenBobCorker @MSNBC I’m with you Renee. Seeing how everybody lives is one… https://t.co/vi9Tc0IUhl"
"552","@bernardkhoo @KGWhite2020 @endo_kerri I thought “running covid patients on the dry side” had been abandoned soon af… https://t.co/JdwhukG3t9"
"553","@mehdirhasan @MehdiHasanShow @BillPascrell @StephanieKelton @kavitapmd @AdamSerwer @peacock @YouTube Its pretty ins… https://t.co/spcRbL0l18"
"554","Designated transportation for COVID-positive people https://t.co/AaysXhTwPG https://t.co/t6kNt5azMh"
"555","SHOUT OUT to Board Member Dr. Chandra Varia!

Thank you for sharing you chose to take the COVID vaccination!

She s… https://t.co/KFyKLI5DPB"
"556","Yesterday I posted the video of this woman who was shaking uncontrollability after taking #Moderna vaccine..
It wen… https://t.co/7mJEdmEHzl"
"557","Like ""Covid surge"" didn't do it for LA, so now they are trying ""extreme Covid surge."" I feel like you can say ""extr… https://t.co/QllMfkcRdd"
"558","@michaeltanchum Shrinking economy due to covid &amp; tensions with TR &amp; rapidly aging population. It is a economical su… https://t.co/HmzrVc3fyE"
"559","#COVID19 has created momentum for expanding telemedicine and scopes of practice in Arkansas, #arkleg legislators sa… https://t.co/fUii0LA4kR"
"560","Parents who have kids doing school from home. Has COVID killed common core math yet? <U+0001F91E><U+0001F3FB> #commoncore #homeschooling2021"
"561","The Coronavirus Is Erasing Minority Women from the Workforce https://t.co/yktBvRsLPh"
"562","@Andrews29John Self-employed don't get wages. I should know, I am one. And I have had zero covid financial support… https://t.co/qamGxVzWls"
"563","because was many tombs!
SO.
These aborts of ........i call you!
NEED COVID! IN THE ASS!
NO DISCO!
WHAT DISCO PLS!
O… https://t.co/M5xUXCOcKR"
"564","For 7 days, I will post a picture from a day in the life of an educator prior to COVID. I will post without explana… https://t.co/sM9PfuzGi7"
"565","Alberta COVID-19 deaths by ages:
0-19 years, no deaths.
20-29 years, five deaths.
30-39 years, seven deaths.
40-49… https://t.co/a9Nf47JTIq"
"566","@brianvastag Thx, Brian, for a great thread. I hope some reporters pick up on it. Avi Nath at NIH told me recently… https://t.co/reeQFmN7q0"
"567","@NZStuff Is it safe to eat chickenwings yet ? 
https://t.co/DDs0MRKG89"
"568","@etrosknight13 Yeah. I got it only cuz I was doing Uber &amp; Lyft and passing by it literally ever day that I was driv… https://t.co/dOmM8bYtn9"
"569","bruh everybody but like 5 people on the heat in covid protocol"
"570","@crrristinaa What the - YOURE THE SWEETEST. I hope we can hang out when covid ends! I miss you!! Thank you so much beautiful <U+0001F496>"
"571","I really don’t get it when people say Alhamdulillah or padan muka to those who’re infected by COVID-19. It’s someth… https://t.co/7VY32KDWtd"
"572","Plan for the Biden Clan.
<U+0001F30D><U+0001F476><U+0001F467><U+0001F9D4><U+0001F3FD><U+0001F468><U+200D><U+0001F9B0><U+0001F469><U+0001F3FC><U+200D><U+0001F9B2><U+0001F469><U+0001F3FD><U+0001F468><U+0001F3FF><U+200D><U+0001F393><U+0001F468><U+200D><U+0001F373><U+0001F468><U+0001F3FD><U+200D><U+0001F527><U+0001F9D5><U+0001F575><U+0001F3FD><U+200D><U+2642><U+FE0F>
<U+0001F321>Vaccines 
<U+0001F6D1>Tax credit increase
<U+0001F5FD>More stimulus to low/all… https://t.co/C1H4UYOBZD"
"573","You know what's a bigger hoax than covid 19? Covid vaccine!
People being told w/ th vaccine they could see their fa… https://t.co/K8HL4zjZg8"
"574","A Wall Street Journal analysis finds the COVID-19 death toll is being seriously undercounted.

The U.S. had more th… https://t.co/ILwBlTad21"
"575","@RepMattGaetz Don’t forget what else Trump has done.  Re-ignited decades old racial tensions. Screwed up Covid resp… https://t.co/IafKfCZyXP"
"576","Minister @adriandix and @DrBonnieHenry, there may be some people who want some clarity on COVID-19 vaccine distribu… https://t.co/lpPNfYUK47"
"577","When u just spent a ton of time filling out the addendum form on how COVID has affected ur work/life for ur faculty… https://t.co/9Wmt3tQEIm"
"578","@CLLo_12 @Ndeufilwa @itvnews We’ve locked down 4x and people are still being denied critical care. Not good enough!… https://t.co/lMUZkBqRmk"
"579","@RandallIngram5 @JoeBiden so, have you had covid? or anything besides covid this year? if the answer is no, which i… https://t.co/pln1Tv8HTs"
"580","which is dangerous of course, but my risk of severe complications or death from COVID seem to be estimated at 1 in… https://t.co/leq3QSGXxW"
"581","<U+0001F534>Portuguese health worker, 41, dies two days after getting Pfizer jab https://t.co/XCijzHvnzT via @MailOnline"
"582","@chicagosmayor wants to open bars/restaurants?!? We say ""NO!"" If you do, COVID rates will go up and CTU will use it… https://t.co/tncIGvmDRp"
"583","So Black Beetle Juice wants to open the bars and restaurants ASAP.

Trump cured COVID by leaving office, confirmed."
"584","@txpts777 It is sad to see the decision. Particularly knowing birds are not known to be carriers of SARS 2 COVID 19"
"585","@jeff_kennett The extra deaths in Victoria were falsely classified / diagnosed as Covid to justify the extended loc… https://t.co/aWS2WCNxJZ"
"586","Listen: Jim Lofgren talks about a plan presented to the Sac County Board of Supervisors that would provide new fina… https://t.co/6fLPVUko2T"
"587","I feel like my voice is getting deeper. Like I don’t sound the same ever since my birthday. Not sick. Not COVID. Just. Getting. Old. <U+0001F974>"
"588","Had some practice for my covid vaccine yesterday. Flu shot plus tetanus shot. My arms are sore."
"589","@adamgaines Hopefully, they will extend business rates holiday too.
I am extremely concerned about this time next y… https://t.co/Q2XtpufaoX"
"590","There are at least four bills in the Legislature aimed at limiting the governor's emergency powers. However, Little… https://t.co/VWiv61aRAm"
"591","COVID-19 in the office. The zombie dragon has melted the ice wall. The north is overrun."
"592","In final transition days, Biden team gets access to critical Covid vaccine data https://t.co/OwRm1gX13N"
"593","After using the excuse of Covid to wreck the economy, there will be no such thing as 'retirement'. 

Or savings.

O… https://t.co/eKH7IvE8Hs"
"594","Footballers criticised as 'brainless' for hugging in goal celebrations amid Covid  That's always the trouble with G… https://t.co/2aPRXUzhWD"
"595","Data from the state this week showed some counties in our area have used 15 percent or less of their allocated firs… https://t.co/L4PC0I9L45"
"596","Rice purity test but you check off all the things you did that were not covid safe"
"597","A Thanksgiving Tweet below from Andy Slavitt, who Biden just appointed to his Covid-19 team.… https://t.co/W9Psu6Ztdi"
"598","PHE said although those with antibodies are unlikely to become ill again with Covid-19, early evidence from the nex… https://t.co/mWiOLxCl8g"
"599","@SanDiegoPadre20 @ts_rosiecat @KamalaHarris @JoeBiden Here is my imitial reponse:
1. Rally size does not equal prop… https://t.co/XJ8CSFHViq"
"600","Hey COVID, go with your daddy next week. He leaves noon on Wednesday.
So long."
"601","Arrested Clubber Tests Positive To COVID-19 In Police Cell https://t.co/QOgGpVDBUO"
"602","@Stericycle_Inc when are you going to get your employees on the vaccination list. Should be a priority since they g… https://t.co/WCPIWesZxt"
"603","Will COVID-19 Lead to ME/CFS? ""If a wave of new cases that doubles the number of Americans with #MECFS is about to… https://t.co/LN3poKEUKo"
"604","reading between the lines a little bit: is this the second time Ricky's had COVID???"
"605","@JRubinBlogger He is accountable for his choices-he must pay his debt to society, Deutsche &amp; Putin

COVID deaths &amp;… https://t.co/voZQU7jbaa"
"606","@jimmykimmel Why don’t you take the keys and lock up your town?!?! 1 in 3 have COVID-19 and you’re complaining about everywhere else?"
"607","My uncle died from COVID-19

He retired from the post office 8 years ago. His mother lived to be 93, and his father… https://t.co/FnxAPs5wBs"
"608","@fmwales this is really disgusting &amp; unacceptable. Get him back to his family temporarily. Get him vaccinated. BBC… https://t.co/t91X6GBtZV"
"609","Dr. Bonnie Henry announced Thursday that health officials are investigating how the person in B.C. contracted the v… https://t.co/AROmvQljsy"
"610","I have no interest in Covid related memorabilia but I do like these two a lot. https://t.co/AcafVpJh2L"
"611","‘To get started on the finish line’: 91-year-old has been waiting for opportunity to get COVID-19 vaccine https://t.co/yrXib2gwii"
"612","It's fantastic that Thai police now finding illegal gambling dens everywhere in Thailand. <U+0001F440> And yet, only a few wee… https://t.co/rctEF2tBEb"
"613","Biden's $1.9 trillion Covid relief plan calls for stimulus checks, unemployment support and more

https://t.co/U8iTfJ9MNE"
"614","Covid or not I would be spending founders day in the house"
"615","UK COVID update: More than 1,000 deaths for 3rd day in a row

- New cases: 48,682
- In hospital: 37,553 (+192)
- In… https://t.co/eJBqJQZDAy"
"616","wow biden's covid plan costs only $1.9 dang i didn't know i could end covid usin barely 2 bucks"
"617","@KKerklaan @jordanstuff4 @7Xerdna @YourAnonNews That kind of thinking is very ignorant. Why should they not cry bec… https://t.co/koXugOgBuD"
"618","@SouthwestAir I've been blessed to have survived 2020 healthy. But I've had my heart broken hearing about friends t… https://t.co/bBDcnXTKHd"
"619","I'm hungry and can't afford my rent or electric services. Covid is killing me. Slowly painfully will I live another day?"
"620","Data normalization is important! I made 2 charts with the same data, different takeaways. A surprising find: Some l… https://t.co/GwCkRA5S5w"
"621","@TripleFor @bryanwatson131 @nfldraftscout Yea signing autographs while the game is still playing, several covid inf… https://t.co/ernI3Njo0q"
"622","Covid-19: Brazil hospitals 'run out of oxygen' for virus patients - BBC News https://t.co/Idlgpn9WLd"
"623","Everytime someone get Covid y’all say Covid is real, like we haven’t been in a damn pandemic since last March."
"624","@warmake @Xeynon @billscher You also seem to be implying that the COVID death toll in the US would be significantly… https://t.co/90uoereFHA"
"625","Having my 2nd COVID jab next week"
"626","When I had covid I lost my taste and smell so I stopped eating and I lost so much weight I hate it"
"627","Really frightening - up from 13504 yesterday, 10,600 the day before. #Covid cases in #Glasgow 
#Covid19 https://t.co/Q15cs9xXqD"
"628","@largejack1000 If you look at my tweets,I’m not worried about covid or “lockdowns”. or freedoms and neither do I me… https://t.co/5kSF1Sobtk"
"629","@Antifa_CTO @saltopus_rex Yup. Example

https://t.co/U2jGZMawuc https://t.co/WCH9QbUFXI"
"630","Although people 65 and older are now eligible to register to receive COVID-19 vaccinations, Contra Costa Health Ser… https://t.co/n94fqyPAXh"
"631","News: Cancer screening tests, cancer diagnoses during COVID-19 pandemic - https://t.co/nfHC3eEmKg"
"632","Woman suffers whole body convulsions after taking experimental Moderna COVID-19 vaccine https://t.co/lv0J2jaTts"
"633","Teachers could start being vaccinated for #COVID19 as early as late Feb. but most will likely get their first dose… https://t.co/9QguQNTgI9"
"634","Forbes article...
Made from monkey DNA...
<U+FFFC>
<U+FFFC>

""The AstraZeneca-Oxford vaccine is a chimpanzee adenovirus-vectored… https://t.co/Qnmu9nSLoD"
"635","Want to see some hoops? Get your free Covid test and drop the positivity rate. 
Testing here:
https://t.co/KDd9gfdjfJ"
"636","Gotta stop taking my mask off when im doing the dishes before I catch this covid. <U+0001F926><U+0001F3FE><U+200D><U+2642><U+FE0F>"
"637","Woman suffers whole body convulsions after taking experimental Moderna COVID-19 vaccine https://t.co/5DPqfgk5Aa"
"638","just checking my local covid dashboard 31 died 1km radius of my front door today <U+0001F62C>"
"639","@MonicaRichart Yes.  There’s an HISD Covid Dashboard that counts cases of student and staff.  They still keep addin… https://t.co/wTaXXXWqAq"
"640","Educators in #ABQ tell me they're hopeful the #COVID19 vaccine will aid school reopen plans in #NewMexico and that… https://t.co/wi3CW8bGn0"
"641","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks https://t.co/tewZ68UCqz"
"642","@Jersey_2313 I tried to initially give Trump the benefit of the doubt when he first went into office. I really did.… https://t.co/Gd3sfAB1tL"
"643","More pregnant women are being treated for Covid-19 in intensive care in current wave - inews https://t.co/SRoV8AkUQT"
"644","The corporate elite are pushing ahead with smart cities (techno-fascist prisons) ""in the face of the global COVID-1… https://t.co/wdHoPi9isd"
"645","As the #COVID19 pandemic continues, it's important to practice self-care. @VA_PTSD_Info's COVID Coach app provides… https://t.co/E8guZCRRcz"
"646","COVID-19 vaccination delays cost lives | Editorial https://t.co/tDTD04YJk3"
"647","The Real Story On The Vaccine Rollout Is More Complicated Than You've Heard - HuffPost https://t.co/7fQ4jZKE0X via… https://t.co/4Mk4hJUlCi"
"648","@bj116 I had a cold for like 2 days and my body temp dipped to 95F, but like, it obviously wasn't COVID and I have no idea how I got it"
"649","@NBCNightlyNews OK, we get it...the COVID vaccine is an injection in the arm.  We don’t need to see 10 different views on every broadcast."
"650","Just in: There is a sudden new rule requiring people traveling to Gitmo to come with a negative results Covid-19 te… https://t.co/xzTuZMrO9s"
"651","Questions about the COVID19 vaccines? Join Senior Pastor Bryan Carter (Concord Church) today (Thursday, January 14)… https://t.co/9GPIoERlNS"
"652","@TheBuffaloNews What’s the science behind this? Higher likelihood of getting Covid between 10 pm and 5 am?"
"653","@IvankaTrump @USTreasury Hey that’s great, but over 4,000 people a day are dying from COVID. What good does this do… https://t.co/8RFTAhESdr"
"654","Leverage to get all Progressive policies passed. M4A Retroactive  Covid relief and GND most importantly."
"655","Disneyland is officially getting rid of their Annual Passes due to COVID-19 ! 

https://t.co/XHfyb5Uu5c"
"656","REAR WINDOW but during COVID and it's me looking out the sliding glass door of my townhouse into the alley where se… https://t.co/4jOblD28lx"
"657","i really should be packing and figuring out,,,, how im gonna get to new york but the possibility i’ll test positive… https://t.co/j4c1PTPI6Y"
"658","@GravyVampire305 @HeadRushV2 @StupidSxyCorbin Had to laugh at the ""called it"" comments because the Pope got the COV… https://t.co/ZIEXHEAC9p"
"659",".@NYSTaxDept: New York won't tax forgivable PPP loans; decides to comply with federal tax regulation that was adopt… https://t.co/6C0zd5HM8i"
"660","This probably should not come as any great surprise #CovidUK
#COVID19
https://t.co/LlzTm3vKj0"
"661","@wkshat 1. Drafted to the Lions
2. Injuries.
3. COVID year"
"662","@grazina5 @seanhannity And just like that.....the election is over and COVID disappears!!!<U+0001F57A><U+0001F602><U+0001F602><U+0001F602>"
"663","What if COVID took away your smell taste and you can’t see or hear for 14 days straight."
"664","@wsbgnl @jasonfurman I'm Canadian. Where I live (the Maritimes) has all but eradicated COVID (my province last had… https://t.co/yErpWkhLiV"
"665","Here's the regional COVID-19 breakdown from AB Health for today (Jan14)
-Total active: 12,434 (down from 12,838)
Ca… https://t.co/eTiODnuefo"
"666","@castda I know what the covid is, where it comes from. I won a Nobel Peace Prize for helping to determine it in Mar… https://t.co/1ZjMnnCVWD"
"667","According to the CDC website, the USA is at 11 million vaccinated with the first dose.

We have a ways to go, but i… https://t.co/7WO0sSSGu7"
"668","@_AshTronomical Gotta pay for an app wait in line hoping the animal you wanted ain’t gone by the time you get appro… https://t.co/YHzAbD30Rr"
"669","@GovRonDeSantis @RonDeSantisFL Residents and healthcare workers are concerned about #Covid surge in Florida and sta… https://t.co/iYH0Qffzqh"
"670","@AllyMalinenko Saw this article and thought of you: https://t.co/gIngpxnz5d"
"671","Humanity is mind blowing mixed with COVID https://t.co/6sU42fvxHm"
"672","Both my grandparents have covid and my grandpa is in the hospital <U+0001F62C><U+0001F62C><U+0001F62C>"
"673","@tugbak85 Yeah people and places and stuff and unwanted hugging and touching,  and sneezing without having to expla… https://t.co/2lS43psLNZ"
"674","tw // death , shooting 

white male mass shooters have not gotten the death penalty but black men who suffer from i… https://t.co/rYjZmQczWG"
"675","@RokoMijicUK This illness is simply not that severe for the vast majority of the population. This doctor should nev… https://t.co/EXdznvQEPr"
"676","Nassau County is committed to an equitable distribution of the COVID-19 vaccine.

The County is working closely wit… https://t.co/lJV4EO9Nk8"
"677","@senateGOP, @senatemajldr, 

How can you waste time in trivialities such as impeaching a President who is practical… https://t.co/4YGLaVtib5"
"678","On the latest edition of ""The @pmanonair Show: Reactions to @ecubasketball's recent postponements due to COVID-19 a… https://t.co/adHiLTlqup"
"679","The GOP response, see WE TOLD YOU SO....SOCIALISM and DEFICITS!

Joe Biden just released his $1.9 trillion Covid re… https://t.co/K0w2bBdxw1"
"680","Despite Covid cases rising, more colleges plan to reopen in the spring. https://t.co/kGqehac5lg"
"681","WE SURVIVED COVID FOR THIS

LETS FUCKING GO"
"682","@Jessicam6946 I agree, keep getting e- mails from my Condo Association, we're now up to 14 people testing positive.… https://t.co/NrR01Lb6O1"
"683","Tonight @ 8 PM PST - Malcontentment Happy Hour

* Black Coffee NW target of racism
* Behind the Pole with… https://t.co/UWW2C1it59"
"684","@DaveSilberman @GovPhilScott You truly don’t know what you’re talking about. He had a 60%+ approval rating before C… https://t.co/F0LoiIbPGi"
"685","Another CoVid Crisis coming! https://t.co/RGxkJS2tyu"
"686","Hey @kairyssdal.  Loved the piece tonight on business pivots.  Please talk to my best COVID restructuring of a smal… https://t.co/TywH01q1i0"
"687","I wonder how covid is spreading in mainly Muslim countries compared to non Muslims ones... like i wonder if the Niq… https://t.co/RnJRUbVAk7"
"688","“This could be the next public health disaster in Florida,” said Aron Banks, whose Doral-based company CardioPath s… https://t.co/5LDcyNX2Nd"
"689","ON 12 NEWS AT 5: Gov. @dougducey joins @mcurtis12news in studio to discuss COVID-19 mitigation and vaccine distribu… https://t.co/fzjx6A256E"
"690","@BorisJohnson I have to take time off work *UNPAID* because my husband is extremely clinically vulnerable, I've had… https://t.co/caOu9YWDuD"
"691","COVID-19: UK's largest temporary morgue set to open with high deaths to continue 'for some weeks' | UK News | Sky N… https://t.co/D6UT2qy0ZO"
"692","There are now 806 Albertans in hospital with COVID-19, 136 of which are in ICU, and 1,389 deaths.

The province com… https://t.co/coSMhRNIRh"
"693","COVID-19 it's real my Nigerian brother's and sister's. Pls protect yourself. Use mask practice social distance take… https://t.co/Vp903DrTNF"
"694","@senrobportman An inaguration closed to the public
Covid killed 4,000+ today alone
Vaccine distribution is worst in… https://t.co/mnHlG8tVfv"
"695","@BoipeloKwapeng The headline makes it seem as though all 20k deaths are as a result of COVID if you read it passively."
"696","@abbygoodnough   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISIN… https://t.co/K6YEm17C3G"
"697","@respect65 I'm all for that, so long as scientific evidence supports these claims, and teachers'. instructors' and… https://t.co/oqvfoXIvVp"
"698","Today, we announced provincewide changes to restrictions around personal services, and capacity limits on outdoor s… https://t.co/1LzNDYHj5D"
"699","@bbcquestiontime Guardian reporting today Covid patients being transported as far as Newcastle to receive treatment… https://t.co/lwT1cqJA20"
"700","@SofonisbaAngui7 @theSNP @Dr_PhilippaW My colleague had positive covid 29/12. I went on annual leave 30/12. The ser… https://t.co/kj3tCWlNZf"
"701","Lloydminster’s Home Depot says despite having to work around the COVID-19 pandemic, this year’s Orange Door Campaig… https://t.co/YzXrdua7cR"
"702","The Washington Post Puts Anti-Israel Narrative Before COVID-19 Vaccine Facts https://t.co/zKyFxV5G4t"
"703","President Elect #JoeBiden announces $1.9 trillion Covid-19 proposal. Extra $1 trillion for 3rd stimulus check, $1,4… https://t.co/EhP2kcN9Ww"
"704","Biden’s $1.9 trillion COVID relief bill will definitely help millions of Americans in serious need. This is the act of a real leader."
"705","To all returning residents: Welcome back! And don't forget to get your COVID test before moving back into your room after winter break!"
"706","Breaking: World’s covid death toll exceeded 2 million."
"707","@nicoodemo That was short term while shaving the covid beard this summer. But she likes to bring out the picture ev… https://t.co/ETMqXQLD3l"
"708","Two Texas billionaires got a $35 million pandemic relief loan for one of their fracking companies, but only after S… https://t.co/4vYSw8kguY"
"709","#LockdownLight does not work. ""“(Manitoba) had a higher rate than we did at the start of December, and right now th… https://t.co/WVPll23ney"
"710","Still going to the grocery store? With new virus variants spreading, it’s probably time to stop. https://t.co/glvYetgjXg via @voxdotcom"
"711","Has anybody on here lost their taste/smell with covid?? I just wanna know when it’s gonna come back <U+0001F62D>"
"712","you already got 600 dollar checks. also all those times you took a penny but didn't lesve one? that was all covid r… https://t.co/WY2LEdY5id"
"713","PRESS RELEASE: COVID-19 Vaccine Update for North Central Idaho https://t.co/09sxwbBYZA"
"714","JUST IN: Grand River Transit is reporting another two COVID-19 cases. Both employees are bus operators, and are now… https://t.co/S1c95vIgfH"
"715","@uwukarina_ I hope she and the foundry return.  They both have a special place anf meaning in my heart.

My grandfa… https://t.co/mDVRq2dWTM"
"716","@CharlyMaxim @JennyENicholson It's too bad. But, with luck, after the initial post-covid disneyland rush, they'll r… https://t.co/BBBbSdocdz"
"717","$140 out of pocket for COVID test? What happen to free testing? @GovMurphy"
"718","@NikkiHaley Plan for Covid? No?"
"719","@FaivaTaufa @_MoistOintment_ @Jacoblamb1364 @LosBlancoEhsan @KamalaHarris @JoeBiden If you passed first grade you w… https://t.co/r3BYtTIr3E"
"720","As the Covid crisis in Los Angeles continues to put an incredible strain on local hospitals, our team is delivering… https://t.co/WkdfXK0SS8"
"721","@thistallawkgirl Let's face it.  Her treating of 'the help' was cemented well before Covid. Hey @IvankaTrump how th… https://t.co/RzFAYxAXpT"
